,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
53,No,18,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.7,Yes
54,No,10,No,Yes,Fiber optic,No,No,Month-to-month,Yes,81.0,Yes
55,No,15,Yes,No,Fiber optic,No,No,Month-to-month,Yes,87.75,No
56,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,118.65,No
57,No,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.8,No
58,Yes,72,Yes,No,Fiber optic,Yes,No,Two year,No,105.25,No
59,No,70,No,Yes,DSL,Yes,Yes,Two year,No,57.8,No
60,No,49,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.0,No
61,No,28,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,25.7,No
62,No,72,No,Yes,DSL,Yes,No,Two year,Yes,54.2,Yes
63,Yes,34,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.85,No
64,Yes,10,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.95,No
65,Yes,28,No,No,Fiber optic,No,No,Month-to-month,Yes,81.05,Yes
66,No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.35,No
67,No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes
68,No,37,Yes,Yes,DSL,Yes,Yes,One year,No,67.45,No
69,No,45,Yes,Yes,Fiber optic,No,No,One year,Yes,100.3,No
70,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.95,Yes
71,No,42,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,105.2,Yes
72,Yes,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,26.35,No
73,No,61,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.15,No
74,Yes,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,No
75,Yes,59,No,Yes,Fiber optic,Yes,No,One year,Yes,106.15,No
76,Yes,51,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.95,No
77,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,No
78,No,67,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,No
79,No,7,No,No,DSL,No,No,Month-to-month,Yes,66.85,No
80,No,51,No,Yes,Fiber optic,No,No,One year,Yes,90.35,No
81,No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,89.85,No
82,Yes,0,No,Yes,DSL,Yes,Yes,Two year,No,73.35,No
83,No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.6,No
84,No,52,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.45,No
85,No,41,No,Yes,DSL,No,Yes,One year,No,35.45,No
86,No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,No,88.4,No
87,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,No
88,No,17,No,No,Fiber optic,No,No,Month-to-month,No,70.5,No
89,No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,No
90,No,62,No,No,DSL,No,Yes,Two year,Yes,39.0,No
91,No,51,Yes,Yes,DSL,Yes,Yes,Two year,Yes,83.25,No
92,No,25,Yes,No,Fiber optic,No,No,Month-to-month,No,74.3,No
93,No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.8,No
94,Yes,25,Yes,No,DSL,No,Yes,Month-to-month,No,54.3,No
95,Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No
96,No,14,No,Yes,DSL,No,No,Month-to-month,No,50.45,No
97,No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.0,Yes
98,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,Yes
99,No,64,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,103.5,No
100,No,1,No,Yes,Fiber optic,No,Yes,Month-to-month,No,91.7,Yes
101,No,43,No,No,DSL,No,Yes,One year,Yes,64.85,No
102,No,71,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.65,No
103,Yes,72,Yes,Yes,DSL,Yes,No,Two year,No,68.75,No
104,No,65,No,Yes,Fiber optic,Yes,No,One year,Yes,106.25,Yes
105,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,75.9,Yes
106,No,9,No,No,Fiber optic,No,No,Month-to-month,No,94.4,Yes
107,No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,Yes
108,No,18,No,No,DSL,Yes,No,Month-to-month,Yes,49.55,Yes
109,No,41,No,No,DSL,Yes,No,One year,Yes,73.0,Yes
110,No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes
111,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,No
112,No,1,No,Yes,Fiber optic,No,No,Month-to-month,No,74.35,No
113,Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,No
114,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,84.45,Yes
115,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,74.55,Yes
116,No,2,No,Yes,DSL,No,No,Month-to-month,No,49.2,No
117,No,8,No,No,DSL,Yes,Yes,Month-to-month,No,64.1,No
118,Yes,50,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.4,No
119,No,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,73.8,No
120,No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.9,No
121,Yes,30,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.4,Yes
122,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.75,Yes
123,Yes,49,Yes,Yes,DSL,Yes,Yes,One year,Yes,87.2,No
124,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.75,No
125,Yes,1,Yes,No,DSL,No,Yes,Month-to-month,No,54.5,No
126,No,2,No,Yes,DSL,No,No,Month-to-month,Yes,59.0,No
127,Yes,41,Yes,No,DSL,Yes,No,One year,No,35.4,No
128,No,60,Yes,Yes,DSL,No,Yes,Two year,Yes,61.35,No
129,Yes,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.55,No
130,No,7,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,Yes
131,No,63,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.1,No
132,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.45,Yes
133,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.15,No
134,Yes,26,No,Yes,DSL,No,No,One year,Yes,39.95,No
135,No,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No
136,No,5,Yes,No,DSL,Yes,No,Month-to-month,No,55.8,No
137,No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,No
138,No,36,Yes,Yes,DSL,Yes,Yes,One year,No,85.85,No
139,No,1,No,No,DSL,No,No,Month-to-month,Yes,36.45,Yes
140,No,19,No,No,DSL,Yes,No,Month-to-month,Yes,39.65,Yes
141,No,49,No,No,DSL,Yes,Yes,Two year,Yes,74.45,No
142,Yes,35,Yes,No,DSL,No,Yes,Two year,Yes,46.35,No
143,No,57,No,Yes,DSL,Yes,No,Two year,Yes,79.75,No
144,No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,No
145,Yes,67,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.55,No
146,No,59,Yes,Yes,Fiber optic,Yes,No,One year,Yes,82.95,No
147,Yes,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.55,Yes
148,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.25,No
149,No,2,Yes,Yes,DSL,No,No,Month-to-month,Yes,42.6,Yes
150,Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,No
151,No,51,No,Yes,Fiber optic,Yes,Yes,One year,Yes,111.5,No
152,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,102.65,No
153,Yes,15,No,No,DSL,No,No,Month-to-month,No,46.3,No
154,Yes,65,No,Yes,DSL,Yes,Yes,Two year,Yes,84.2,No
155,No,26,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.85,Yes
156,Yes,58,Yes,No,DSL,Yes,Yes,Two year,No,75.8,No
157,No,52,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.2,Yes
158,Yes,61,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,No
159,No,18,No,No,Fiber optic,No,No,Month-to-month,No,78.55,Yes
160,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,No
161,No,55,Yes,Yes,DSL,No,Yes,Two year,No,56.8,No
162,Yes,72,Yes,No,DSL,Yes,Yes,Two year,No,66.85,No
163,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.7,No
164,Yes,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,No
165,No,52,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,102.7,No
166,No,44,No,Yes,DSL,Yes,No,One year,Yes,53.95,Yes
167,Yes,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,78.1,No
168,No,41,No,No,DSL,Yes,No,One year,Yes,51.35,No
169,Yes,7,No,No,DSL,No,No,Month-to-month,No,48.8,No
170,No,10,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.1,No
171,No,6,Yes,No,Fiber optic,No,No,Month-to-month,Yes,85.15,Yes
172,No,53,Yes,Yes,Fiber optic,No,Yes,One year,Yes,96.75,No
173,No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,75.6,No
174,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.95,Yes
175,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,88.4,No
176,Yes,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,No
177,No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.0,No
178,No,50,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,83.4,No
179,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.4,No
180,No,44,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
181,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.05,No
182,No,64,Yes,No,Fiber optic,No,No,Month-to-month,Yes,73.55,No
183,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.25,No
184,No,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.85,Yes
185,Yes,41,Yes,No,DSL,No,Yes,One year,Yes,74.7,No
186,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
187,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,No
188,No,26,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.35,Yes
189,Yes,70,Yes,No,DSL,Yes,No,Two year,No,68.95,No
190,No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,Yes
191,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,84.75,Yes
192,No,62,No,No,Fiber optic,Yes,No,One year,Yes,96.75,Yes
193,No,12,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,98.1,Yes
194,Yes,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.4,No
195,Yes,7,Yes,No,DSL,No,No,Month-to-month,No,69.7,No
196,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.05,No
197,No,12,Yes,No,Fiber optic,No,No,Month-to-month,Yes,78.95,Yes
198,No,12,No,No,DSL,Yes,Yes,Month-to-month,Yes,43.65,Yes
199,No,28,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,No
200,No,24,No,Yes,DSL,No,No,Month-to-month,Yes,69.45,No
201,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,Yes
202,Yes,23,No,No,DSL,No,Yes,Month-to-month,Yes,30.35,No
203,Yes,2,No,No,DSL,No,Yes,Month-to-month,No,29.05,No
204,No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No
205,No,40,No,Yes,Fiber optic,No,Yes,One year,Yes,99.2,Yes
206,No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,No
207,Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,63.55,No
208,No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No
209,No,52,Yes,No,DSL,Yes,No,One year,No,35.45,No
210,No,6,No,No,DSL,No,Yes,Month-to-month,No,50.05,No
211,No,46,Yes,No,DSL,Yes,No,Two year,No,79.2,No
212,No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,104.75,Yes
213,No,46,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,93.7,Yes
214,No,1,No,No,DSL,Yes,Yes,Month-to-month,No,62.05,Yes
215,No,48,No,Yes,Fiber optic,Yes,No,One year,Yes,97.05,No
216,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.65,Yes
217,Yes,44,No,Yes,DSL,No,Yes,Month-to-month,Yes,54.9,No
218,Yes,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No
219,Yes,57,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,95.3,No
220,No,19,No,No,DSL,No,No,Month-to-month,Yes,45.0,No
221,Yes,10,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.25,Yes
222,No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.6,No
223,No,70,No,Yes,Fiber optic,No,Yes,One year,Yes,105.55,No
224,No,35,No,No,DSL,Yes,No,Month-to-month,Yes,62.1,No
225,Yes,18,No,No,DSL,No,No,Month-to-month,Yes,45.65,No
226,Yes,13,No,No,DSL,No,No,One year,Yes,64.75,No
227,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.1,No
228,No,30,No,No,DSL,Yes,No,Month-to-month,Yes,50.0,No
229,Yes,67,Yes,No,DSL,Yes,Yes,Two year,No,67.85,No
230,No,24,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,89.25,No
231,No,63,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,108.25,No
232,No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.2,Yes
233,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No
234,Yes,55,No,No,Fiber optic,No,No,Two year,Yes,69.05,No
235,Yes,4,No,No,Fiber optic,No,No,Month-to-month,Yes,69.55,No
236,No,6,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,109.9,Yes
237,Yes,15,No,Yes,DSL,Yes,Yes,Month-to-month,No,76.5,No
238,No,9,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.9,No
239,No,34,Yes,Yes,DSL,No,Yes,One year,Yes,64.4,Yes
240,No,71,No,Yes,DSL,No,No,Two year,No,49.35,Yes
241,No,37,Yes,No,DSL,No,No,One year,No,64.65,No
242,No,31,No,No,Fiber optic,Yes,No,Month-to-month,No,88.65,No
243,No,10,No,No,Fiber optic,No,No,Month-to-month,No,85.55,Yes
244,Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No
245,Yes,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,87.25,Yes
246,No,15,Yes,No,DSL,Yes,Yes,Month-to-month,No,58.95,No
247,Yes,24,Yes,Yes,DSL,No,No,One year,No,78.4,No
248,No,9,No,No,DSL,No,Yes,Month-to-month,No,40.65,Yes
249,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,86.8,Yes
250,Yes,35,Yes,Yes,DSL,Yes,Yes,Two year,Yes,69.15,No
251,Yes,52,Yes,Yes,DSL,Yes,No,Two year,No,79.2,No
252,Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.8,No
253,Yes,13,No,No,Fiber optic,No,No,Month-to-month,Yes,78.3,No
254,No,19,Yes,No,DSL,Yes,No,Month-to-month,No,66.4,No
255,Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
256,No,53,No,No,Fiber optic,No,No,One year,Yes,95.85,No
257,No,52,No,Yes,Fiber optic,No,No,One year,Yes,80.2,No
258,Yes,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,No
259,No,26,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.45,No
260,No,39,No,No,Fiber optic,Yes,Yes,Two year,Yes,80.45,Yes
261,No,31,Yes,No,Fiber optic,No,No,Month-to-month,No,89.45,No
262,Yes,55,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.7,No
263,No,7,No,Yes,DSL,No,No,Month-to-month,Yes,40.1,Yes
264,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.45,Yes
265,Yes,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,Yes
266,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No
267,No,70,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.85,No
268,No,31,No,No,Fiber optic,Yes,Yes,Two year,No,99.45,No
269,No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.6,Yes
270,No,4,Yes,No,Fiber optic,No,No,Month-to-month,No,75.35,No
271,No,9,Yes,No,DSL,No,No,Month-to-month,No,54.55,Yes
272,No,32,No,No,Fiber optic,Yes,No,Month-to-month,No,79.3,No
273,Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,No
274,No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.95,Yes
275,Yes,32,No,Yes,DSL,Yes,Yes,One year,No,83.7,No
276,No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.85,No
277,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,No
278,No,7,No,No,DSL,No,No,Month-to-month,Yes,44.25,No
279,Yes,70,Yes,Yes,DSL,Yes,Yes,Two year,No,80.7,No
280,No,45,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.3,No
281,No,72,No,No,Fiber optic,Yes,No,Two year,Yes,97.85,No
282,No,3,No,No,DSL,No,No,Month-to-month,Yes,55.3,Yes
283,No,2,Yes,No,DSL,No,No,Month-to-month,Yes,62.15,No
284,No,27,Yes,No,DSL,No,No,One year,No,48.7,No
285,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,No
286,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.1,Yes
287,No,34,Yes,Yes,Fiber optic,Yes,Yes,One year,No,116.25,No
288,No,22,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.25,No
289,No,46,No,No,DSL,Yes,Yes,One year,Yes,69.1,No
290,Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
291,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.9,Yes
292,Yes,70,Yes,No,DSL,Yes,Yes,Two year,No,59.5,No
293,Yes,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No
294,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,No
295,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.1,No
296,No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,94.4,Yes
297,No,2,No,No,Fiber optic,Yes,No,Month-to-month,No,76.4,Yes
298,Yes,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.45,No
299,No,52,No,No,Fiber optic,No,No,Month-to-month,Yes,72.95,No
300,Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.2,No
301,No,47,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,67.45,No
302,No,2,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.2,Yes
303,Yes,46,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,110.2,No
304,Yes,55,Yes,Yes,DSL,No,Yes,Two year,No,57.55,Yes
305,Yes,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.45,No
306,Yes,9,No,No,Fiber optic,Yes,Yes,Month-to-month,No,103.1,No
307,No,33,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.65,No
308,Yes,19,No,No,Fiber optic,No,Yes,One year,Yes,100.95,Yes
309,No,15,No,No,DSL,No,No,Month-to-month,Yes,51.1,No
310,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,Yes
311,No,11,No,No,DSL,No,No,Month-to-month,Yes,44.65,No
312,Yes,38,Yes,Yes,DSL,No,No,Month-to-month,No,54.5,No
313,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,Yes
314,Yes,63,Yes,No,DSL,No,No,Two year,Yes,50.65,No
315,No,63,Yes,No,DSL,No,Yes,One year,No,36.1,No
316,No,2,No,No,DSL,Yes,Yes,Month-to-month,No,76.4,Yes
317,No,22,No,No,Fiber optic,No,No,One year,Yes,76.0,No
318,No,16,No,No,DSL,No,Yes,Month-to-month,Yes,49.95,Yes
319,Yes,33,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.15,No
320,No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.05,No
321,No,48,Yes,No,DSL,Yes,No,Month-to-month,Yes,45.3,Yes
322,No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,79.85,No
323,Yes,71,Yes,No,DSL,Yes,Yes,Two year,Yes,70.85,No
324,Yes,48,No,Yes,DSL,Yes,No,Month-to-month,No,45.55,No
325,Yes,0,Yes,No,DSL,Yes,Yes,Two year,Yes,52.55,No
326,No,68,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.0,Yes
327,No,57,No,Yes,Fiber optic,Yes,No,One year,Yes,90.65,No
328,No,11,Yes,Yes,DSL,No,No,Month-to-month,No,60.25,No
329,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.6,No
330,No,46,Yes,Yes,DSL,No,No,Month-to-month,No,45.55,No
331,No,9,Yes,No,DSL,No,Yes,Month-to-month,No,64.95,No
332,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.3,No
333,Yes,48,Yes,No,Fiber optic,Yes,No,One year,Yes,99.7,No
334,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.2,No
335,No,65,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,No
336,No,72,No,No,DSL,Yes,No,Two year,Yes,73.45,No
337,No,39,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.45,No
338,Yes,4,No,No,DSL,No,No,Month-to-month,Yes,50.9,Yes
339,No,24,No,No,Fiber optic,No,No,Month-to-month,No,70.0,No
340,Yes,43,Yes,No,DSL,Yes,No,Two year,No,75.2,No
341,No,1,Yes,No,DSL,No,No,Month-to-month,No,49.75,No
342,No,21,No,Yes,DSL,No,Yes,Month-to-month,Yes,36.0,No
343,No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,84.85,No
344,No,13,No,No,Fiber optic,No,No,Month-to-month,No,70.45,No
345,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,Yes
346,No,3,No,No,DSL,No,Yes,Month-to-month,Yes,29.9,No
347,No,51,No,No,Fiber optic,No,No,Month-to-month,No,83.4,No
